"name";"nombre_customer";"nombre_comercial";"giro";"tipo_facturacion";"nit";"inicio_de_cliente";"owner";"creation";"docstatus";"modified";"modified_by";"parent";"parentfield";"parenttype";"idx"
"CORP-00001";"";"SENCINET LATAM EL SALVADOR (ANTES BT LATAM)";"VENTA AL POR MENOR POR CORREO O INTERNET";"Credito Fiscal";"17846844-0";"01/09/2007";"rsimoni@ibw.com";"2020-08-26 09:22:52.671";"0";"2022-11-22 11:52:20.811";"Administrator";"";"";"";"0"
"CORP-00002";"";"AMSS";"Gobierno";"Consumidor Final";"36978108-1";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.716";"0";"2022-08-03 17:36:39.753";"Administrator";"";"";"";"0"
"CORP-00003";"";"CSJ";"Gobierno";"Consumidor Final";"18478433-7";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.725";"0";"2023-03-02 16:09:16.960";"rgonzalez@ibw.com";"";"";"";"14"
"CORP-00004";"";"Vidri";"ferreteria";"Credito Fiscal";"77770881-6";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.733";"0";"2022-08-03 17:36:42.512";"Administrator";"";"";"";"0"
"CORP-00005";"";"CCametro";"COOPERATIVAS DE AHORRO Y CREDITO";"Credito Fiscal";"84753089-5";"26/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.742";"0";"2022-11-22 11:52:21.200";"Administrator";"";"";"";"23"
"CORP-00006";"";"CEFAFA";"VENTA DE PRODUCTOS FARMACÃ‰UTICOS Y MEDICINALES";"Credito Fiscal";"68287893-1";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.750";"0";"2023-04-18 14:19:13.904";"dochoa@ibw.com";"";"";"";"0"
"CORP-00007";"";"Econoparts";"VENTA DE PARTES, PIEZAS Y ACCESORIOS NUEVOS PARA VEHICULOS AUTOMOTORES";"Credito Fiscal";"15049098-7";"24/09/2007";"rsimoni@ibw.com";"2020-08-26 09:22:52.758";"0";"2023-10-26 09:42:20.850";"dochoa@ibw.com";"";"";"";"4"
"CORP-00008";"";"HIPER EUROPA";"ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA";"Credito Fiscal";"11919816-2";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.767";"0";"2023-09-07 08:19:07.784";"nayala@ibw.com";"";"";"";"9"
"CORP-00009";"";"Tonny Romas, Bennigans, Benihana y Tucson";"Alimentos [Restaurantes y Cafeterias]";"Credito Fiscal";"55480199-2";"05/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.775";"0";"2022-11-22 11:52:21.603";"Administrator";"";"";"";"23"
"CORP-00010";"";"Farmacia La Buena";"Venta de Producto Farmaceutico";"Credito Fiscal";"24648550-1";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.783";"0";"2022-12-12 12:21:45.261";"ypaz@ibw.com.sv";"";"";"";"2"
"CORP-00011";"";"Probe: Ofic. Central";"Peluqueria y otros tratamientos de belleza";"Credito Fiscal";"28570694-1";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.791";"0";"2022-10-18 11:08:40.313";"crivera@ibw.com.sv";"";"";"";"0"
"CORP-00012";"";"Credomatic";"BANCOS";"Credito Fiscal";"55109054-7";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.800";"0";"2023-08-15 11:44:43.382";"jderas@ibw.com";"";"";"";"82"
"CORP-00013";"";"Antes NASA/ Negocios asociados / PELSA";"Venta Al por menor de articulos";"Credito Fiscal";"65161256-9";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.808";"0";"2023-11-03 16:09:21.929";"nayala@ibw.com";"";"";"";"1"
"CORP-00014";"";"Avianca";"Transporte Aereo";"Credito Fiscal";"95114445-0";"24/09/2007";"rsimoni@ibw.com";"2020-08-26 09:22:52.817";"0";"2023-10-04 08:51:51.724";"dochoa@ibw.com";"";"";"";"3"
"CORP-00015";"";"Centro Cultural Salvadoreño Americano-CCSA";"Enseñanza Formal";"Credito Fiscal";"46667617-9";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.825";"0";"2022-11-21 16:06:04.681";"ryanes@ibw.com";"";"";"";"15"
"CORP-00016";"";"UNAB";"EDUCACION";"Consumidor Final";"82343385-5";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.839";"0";"2023-03-01 09:04:01.561";"crivera@ibw.com.sv";"";"";"";"10"
"CORP-00017";"";"Amate Travel";"ACTIVIDADES DE AGENCIA DE VIAJES";"Credito Fiscal";"84650379-6";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.848";"0";"2022-11-22 11:53:15.838";"Administrator";"";"";"";"1"
"CORP-00018";"";"Secretaria Tecnica y de Planificacion de la Presidencia";"Gobierno Central";"Consumidor Final";"81978757-1";"01/09/2007";"rsimoni@ibw.com";"2020-08-26 09:22:52.856";"0";"2023-04-19 11:33:38.805";"krendon@ibw.com";"";"";"";"2"
"CORP-00019";"";"Ferreterias Viduc";"Venta al por mayor de articulos de ferreteria y pinturerÃ­as   ";"Credito Fiscal";"84320331-9";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.865";"0";"2023-09-12 09:55:24.044";"rquintanilla@ibw.com";"";"";"";"6"
"CORP-00020";"";"EEV";"Compra Venta Computadoras e impresores y Acceso";"Credito Fiscal";"83971974-2";"02/02/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.873";"0";"2023-02-07 13:54:08.675";"kmartir@ibw.com";"";"";"";"2"
"CORP-00021";"";"Digicel ";"Otros Servicios de Telecomunicaciones";"Credito Fiscal";"57485444-5";"07/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.881";"0";"2023-04-14 11:35:58.597";"kmartir@ibw.com";"";"";"";"2"
"CORP-00022";"";"Parques Memoriales ";"Pompas Funebres y Actividades Conexas";"Credito Fiscal";"18578633-1";"08/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.890";"0";"2023-03-03 15:02:37.088";"kmartir@ibw.com";"";"";"";"1"
"CORP-00023";"";"ACOPACREMS de R.L.";"Ahorro y Credito";"Credito Fiscal";"37206806-6";"04/03/2008";"rsimoni@ibw.com";"2020-08-26 09:22:52.898";"0";"2023-01-10 14:15:36.837";"crivera@ibw.com.sv";"";"";"";"4"
